date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:02	43073/43073	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2014:03:05%20GMT	https://demo.dashboardpack.com/sales-html/index.html	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/index.html	(from )
20:45:02	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2013:45:03%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
20:45:03	155851/155851	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbc90-260cb%22	https://demo.dashboardpack.com/sales-html/css/bootstrap1.min.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/css/bootstrap1.min.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:03	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd20-446c%22	https://demo.dashboardpack.com/sales-html/vendors/themefy_icon/themify-icons.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:03	5238/5238	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd16-1b8f%22	https://demo.dashboardpack.com/sales-html/vendors/niceselect/css/nice-select.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:03	3261/3261	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd19-1342%22	https://demo.dashboardpack.com/sales-html/vendors/owl_carousel/css/owl.carousel.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:03	54081/54081	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd0f-d341%22	https://demo.dashboardpack.com/sales-html/vendors/gijgo/gijgo.min.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:04	55970/55970	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd0b-daa2%22	https://demo.dashboardpack.com/sales-html/vendors/font_awesome/css/all.min.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/font_awesome/css/all.min.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:04	1769/1769	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd1e-921%22	https://demo.dashboardpack.com/sales-html/vendors/tagsinput/tagsinput.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/tagsinput/tagsinput.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:04	8152/8152	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd02-b90a%22	https://demo.dashboardpack.com/sales-html/vendors/datepicker/date-picker.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/datepicker/date-picker.css	(from https://demo.dashboardpack.com/sales-html/index.html)
20:45:04	6067/6067	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd23-1a33%22	https://demo.dashboardpack.com/sales-html/vendors/vectormap-home/vectormap-2.0.2.css	D:/laragon/www/Asm-ph32799-hieunt/public/admin_asm/demo.dashboardpack.com/sales-html/vendors/vectormap-home/vectormap-2.0.2.css	(from https://demo.dashboardpack.com/sales-html/index.html)
